iter	Logloss
179	0.3063721367
180	0.3063075329
181	0.3062025481
182	0.306202225
183	0.3061504215
184	0.3061043636
185	0.3060971701
186	0.3060968615
187	0.3060315813
188	0.3060219384
189	0.3060150781
190	0.3059746958
191	0.3059743585
192	0.3058931904
193	0.3058709222
194	0.3058202865
195	0.3058202828
196	0.3057729672
197	0.3057646709
198	0.3057123995
199	0.3056562414
200	0.3055766438
201	0.3055651777
202	0.3055299482
203	0.3054826309
204	0.3054498422
205	0.3053992135
206	0.3053206116
207	0.3052745701
208	0.305172687
209	0.3051058914
210	0.3050079463
211	0.3049258137
212	0.304868723
213	0.3047475853
214	0.3046246573
215	0.3045242583
216	0.3045147129
217	0.3044812737
218	0.3044391251
219	0.3043607532
220	0.3042533667
221	0.3041954428
222	0.3040855716
223	0.3040280394
224	0.303902193
225	0.3038108489
226	0.303810524
227	0.3036895608
228	0.3036570677
229	0.3035327291
230	0.3035057899
231	0.3033888347
232	0.3032773315
233	0.3032348172
234	0.3031650479
235	0.3031480127
236	0.3031464432
237	0.3030953138
238	0.3030867308
239	0.3030513097
240	0.3029580446
241	0.3029200817
242	0.3028206328
243	0.3028033491
244	0.3027737444
245	0.3027544226
246	0.302703654
247	0.302619733
248	0.3026182788
249	0.3025365067
250	0.3024692111
251	0.3024353864
252	0.3023296631
253	0.3022571351
254	0.3021809736
255	0.3020926181
256	0.3020684635
257	0.3020536273
258	0.3020163604
259	0.301951312
260	0.3019382805
261	0.3018300883
262	0.3017489507
263	0.3017038762
264	0.3016209944
265	0.3016051642
266	0.3015528492
267	0.3015500656
268	0.3014940183
269	0.301493937
270	0.3014695239
271	0.3014279662
272	0.3013903691
273	0.3013137693
274	0.301233844
275	0.3012031711
276	0.3011435989
277	0.3011433334
278	0.3010635226
279	0.301027368
280	0.3010235614
281	0.3009595251
282	0.300939001
283	0.3009293713
284	0.3008726484
285	0.3007476192
286	0.3007337376
287	0.3007318438
288	0.3006704375
289	0.3005737842
290	0.3005370116
291	0.3004920914
292	0.3004896636
293	0.3004011342
294	0.300329658
295	0.3002985964
296	0.3002096801
297	0.3001221831
298	0.300068922
299	0.3000279312
300	0.3000265411
301	0.2999518743
302	0.2998981411
303	0.2997890054
304	0.2997218615
305	0.2996860182
306	0.299684526
307	0.2995881408
308	0.2994772268
309	0.2994337468
310	0.2993871819
311	0.2993483267
312	0.2992925133
313	0.2991958298
314	0.299114022
315	0.2990907108
316	0.2990167983
317	0.2989061188
318	0.2988897102
319	0.2988818881
320	0.2988748144
321	0.2987774878
322	0.2987277243
323	0.298693589
324	0.2986220584
325	0.2986219174
326	0.2985237139
327	0.2985045297
328	0.2985044036
329	0.2984758644
330	0.2983494139
331	0.2983478409
332	0.298347717
333	0.2982620033
334	0.2982196071
335	0.2981029324
336	0.2980943187
337	0.2980926082
338	0.2980343183
339	0.2979391857
340	0.2979377482
341	0.2978390309
342	0.2977220713
343	0.2976204485
344	0.2975047699
345	0.2975001349
346	0.2973864525
347	0.2973356332
348	0.297279069
349	0.2971435341
350	0.2970606577
351	0.2970207692
352	0.2970092624
353	0.296955552
354	0.2969471757
355	0.2969154545
356	0.2968618854
357	0.2967887109
358	0.2967883758
359	0.2966587937
360	0.296631831
361	0.2966270714
362	0.2965866839
363	0.2965854006
364	0.2965852957
365	0.2965526919
366	0.296530791
367	0.2965295679
368	0.296527279
369	0.2964642054
370	0.2963491179
371	0.2962959048
372	0.2962169436
373	0.2961455844
374	0.2960242663
375	0.2960218868
376	0.2959017404
377	0.2958449808
378	0.2958200712
379	0.2958107581
380	0.2957214386
381	0.2956137596
382	0.2956136527
383	0.2955507356
384	0.2955487083
385	0.2955396853
386	0.2955395927
387	0.2954877498
388	0.295483348
389	0.2954782623
390	0.2953953767
391	0.2953067745
392	0.2953039553
393	0.2952887535
394	0.2952014272
395	0.2951462542
396	0.2951020408
397	0.2949881662
398	0.2949859344
399	0.2949103036
400	0.294901892
401	0.2948529264
402	0.294823206
403	0.2948167168
404	0.294802565
405	0.2947840162
406	0.2946754489
407	0.2946332108
408	0.2945933518
409	0.2945433962
410	0.2945323058
411	0.2944601263
412	0.2943617928
413	0.2942759321
414	0.2941594637
415	0.2941477793
416	0.2940666567
417	0.2940638235
418	0.2940613196
419	0.2940469244
420	0.2939909772
421	0.2939586948
422	0.2939362441
423	0.2939350127
424	0.2938773867
425	0.2938170562
426	0.2938013799
427	0.2937495081
428	0.2937042985
429	0.2936925312
430	0.2936913973
431	0.2936903273
432	0.2936837573
433	0.2936657564
434	0.2936425843
435	0.2936029332
436	0.2935946718
437	0.293589735
438	0.2935818417
439	0.293508424
440	0.2934566342
441	0.2934134662
442	0.2934071615
443	0.2933296217
444	0.2932984592
445	0.2932445472
446	0.2932035277
447	0.2931799698
448	0.2931373533
449	0.2930772207
450	0.2930545679
451	0.2929805679
452	0.2929691839
453	0.2929325938
454	0.2929193274
455	0.2929130378
456	0.2928355312
457	0.2928055833
458	0.2928025929
459	0.2927539188
460	0.2926891191
461	0.2926758486
462	0.2926278819
463	0.2926262083
464	0.2925743166
465	0.2925675665
466	0.2924712783
467	0.2924392861
468	0.2924267214
469	0.2923758051
470	0.2922996728
471	0.2922445243
472	0.2922257478
473	0.2921887071
474	0.2921877593
475	0.2920643245
476	0.2920638996
477	0.2919645423
478	0.291959785
479	0.2919568421
480	0.291954621
481	0.2919410669
482	0.2919371934
483	0.2919180521
484	0.2918628261
485	0.2918560748
486	0.2918235985
487	0.2917416054
488	0.291741528
489	0.2916885671
490	0.2916143483
491	0.2916032932
492	0.2914852184
493	0.2914421033
494	0.2913741002
495	0.2912606185
496	0.2912471412
497	0.2912437175
498	0.2911307637
499	0.2910771715
500	0.2909913512
501	0.2909344189
502	0.2908847993
503	0.2908556756
504	0.2907890567
505	0.2907058343
506	0.2906794773
507	0.2906235255
508	0.2905135905
509	0.2904794467
510	0.2904224804
511	0.29034341
512	0.2903112972
513	0.2902228215
514	0.2901967951
515	0.2901517941
516	0.2900947588
517	0.2900344144
518	0.2899926376
519	0.2898532328
520	0.289851881
521	0.2898455791
522	0.2897530218
523	0.2896711341
524	0.2896381772
525	0.2896045638
526	0.289601659
527	0.2895677335
528	0.2895676557
529	0.289525554
530	0.2895195947
531	0.2894671266
532	0.2894501368
533	0.2894415064
534	0.2894049709
535	0.2893899386
536	0.2893489888
537	0.2892555612
538	0.2892484339
539	0.2892447437
540	0.2891319772
541	0.2890925976
542	0.2890526519
543	0.2889738812
544	0.2889295906
545	0.2889267734
546	0.2889198384
547	0.2888912105
548	0.2888882647
549	0.2888049945
550	0.2887535681
551	0.2886712441
552	0.2886694403
553	0.2886673269
554	0.2886254802
555	0.2886198523
556	0.2885716481
557	0.2885313345
558	0.2884717076
559	0.2884710067
