cross,auc_oof_te,auc_midband,corr_fused,corr_residual,mean_count,row_lt20,nunique
region_car_d5,0.6162890132706621,0.5469815388785155,0.4322524870817011,0.029320210039516067,16.775280898876403,0.2754186202277294,890
cond5_source,0.568564009508956,0.525869792092342,0.3043692547669309,0.00954616134384065,268.8363636363636,0.0020763563295378433,55
ratio5_region,0.6062145822436329,0.5201026126245067,0.4888471790877357,0.007318660187370496,147.86,0.008171466845277964,100
age_r5,0.596094697268245,0.5167522208460905,0.4542900162479422,0.00686821549053895,369.65,0.0008037508372404555,40
liv_d5,0.6017683800143143,0.5118709698375676,0.49359222748992276,0.004303916641729386,135.72727272727272,0.013596784996651038,110
dfix_source,0.6008287496248246,0.49888241687850016,0.4965160182812627,0.003679179456026933,193.8961038961039,0.004353650368385801,77
car_d5,0.6021271850735503,0.5043667733343392,0.5130897031294357,-3.058016456937446e-05,271.45454545454544,0.004085733422638982,55
code_d5,0.6023712730250248,0.5012834000093606,0.5272033274123823,-0.0016085221238908499,746.5,0.0,20
t3sfx_code_d5,0.6018619002069138,0.5001623241677371,0.5225568856169216,-0.002170043900907833,426.57142857142856,0.0,35
dfix_cond5,0.6037864159021844,0.4856383714424026,0.5539840011113727,-0.0028071296366587494,422.45714285714286,0.0,35
grades_d5,0.5937436558528564,0.49270440620614453,0.4962393626360342,-0.002832368664861276,995.3333333333334,0.0,15
t3sfx_dfix_code,0.5967979770778749,0.4849709126268119,0.5108345644121102,-0.003094821435768783,304.6938775510204,0.0,49
x_rowmean_d5,0.5945072174998547,0.4945352027768522,0.5127603916983884,-0.003126262795559958,597.2,0.0,25
w_pair_t3sfx_d5,0.59465559590599,0.49770100429674424,0.4931766152557833,-0.0031761637780851233,266.60714285714283,0.0026791694574681848,56
version_d5,0.5761876342968875,0.4926376952517867,0.404614388749588,-0.003393296957536306,157.1578947368421,0.0,95
ratio5_source,0.5999488288555099,0.5020115448370961,0.5284292110468649,-0.003984808403559726,268.8363636363636,0.0027461486939048896,55
w_pair_r5,0.598822506386939,0.4997514929632168,0.5249553724860254,-0.005262125217323432,739.3,0.0,20
w_pair_d5,0.5959958778468551,0.4981418728943265,0.518539760050101,-0.005903667649431104,746.5,0.0,20
x20bin_region,0.5177708269145491,0.5032555644270646,0.16753757529761337,-0.01477498049444881,74.65,0.04554588077695914,200
