name,oof_auc,fold_mean,fold_std,fold_aucs,n_feat,n_cat,elapsed
A2_dual_v2_dropnoise,0.6871998098845693,0.6882882219355897,0.014008934644653992,"[0.6991186351229068, 0.6859647528730555, 0.6918471570661665, 0.6625944564003818, 0.701916108215438]",179,93,186.1
A3_parse_dropnoise,0.6867892067298315,0.6879085153843528,0.015150767927137525,"[0.703797424238841, 0.6797711762194538, 0.6890702540287498, 0.6636026551723709, 0.7033010672623481]",219,125,162.5
A4_parse_reg,0.6867423844360108,0.6879782232933088,0.015305121993253588,"[0.7018905594009556, 0.6841487503936332, 0.6882400459041613, 0.6614817036816681, 0.7041300570861256]",219,125,307.2
A1_drop_x0_18,0.6855667517727787,0.6874718930153263,0.0137647416931404,"[0.6965271908719426, 0.6868435039014803, 0.6911003431609893, 0.6617069925430631, 0.701181434599156]",167,83,195.2
A5_dropnoise_depth7,0.6850120494013514,0.6872216469020068,0.012305220737555954,"[0.6982237031265364, 0.6848407979457638, 0.6898195573136108, 0.6648685047416459, 0.698355671382477]",167,83,372.5
A0_old_recipe,0.6842861794520886,0.6853338253525242,0.01490857321170677,"[0.6971097057179807, 0.6879998207646629, 0.6851544597859383, 0.657420280727347, 0.6989848597666916]",186,83,157.8
