name,pooled_oof,seed_mean,n_feat,n_cat,elapsed,seed_aucs
B5_focus_daysXcats,0.6902070351466747,0.6902070351466747,162,91,393.9,{2026: 0.6902070351466747}
B1_order2_more_days_cross,0.689708708608296,0.689708708608296,209,110,258.1,{2026: 0.689708708608296}
B6_slow_lr,0.689695472975824,0.689695472975824,162,91,392.1,{2026: 0.689695472975824}
B0_a2_enrich,0.6896416348016328,0.6896416348016328,195,98,267.9,{2026: 0.6896416348016328}
B3_border_bag,0.688725092131944,0.688725092131944,195,98,314.9,{2026: 0.688725092131944}
B4_keep_weak_x,0.6875731940427314,0.6875731940427314,199,98,344.4,{2026: 0.6875731940427314}
B2_balanced,0.6871302481770654,0.6871302481770654,195,98,278.0,{2026: 0.6871302481770654}
