cross,auc_oof_te,nunique,mean_count,base_a,base_b,lift_vs_best_base,sparse_risk
days_q10×cond_q10,0.6179537174811458,100.0,149.3,0.5930945625235355,0.5529564123753362,0.024859154957610263,False
days_q5×cond_q5,0.6129705516133939,25.0,597.2,0.5929976836648013,0.5229156565789254,0.019972867948592543,False
days_q10×source,0.6002542435627058,110.0,135.72727272727272,0.5930945625235355,0.517571322146139,0.007159681039170307,False
days_q10×car,0.6002542435627058,110.0,135.72727272727272,0.5930945625235355,0.517571322146139,0.007159681039170307,False
days_q10×region,0.6001904289061437,200.0,74.65,0.5930945625235355,0.5408213525980452,0.007095866382608174,False
days_q10×livability,0.5994797849100255,219.0,68.17351598173516,0.5930945625235355,0.5426252548605621,0.006385222386489975,True
days_q10×t3_suf,0.5971839748932989,30.0,497.6666666666667,0.5930945625235355,0.5078707230994229,0.0040894123697633455,False
cond_q10×source,0.5945395104527661,110.0,135.72727272727272,0.5529564123753362,0.517571322146139,0.04158309807742988,False
cond_q10×car,0.5945395104527661,110.0,135.72727272727272,0.5529564123753362,0.517571322146139,0.04158309807742988,False
days_q10×grades,0.5917164396108844,30.0,497.6666666666667,0.5930945625235355,0.4959976144016419,-0.0013781229126511585,False
days_q10×month,0.5896684991549098,130.0,114.84615384615384,0.5930945625235355,0.500395849902753,-0.0034260633686257203,False
days_q10×age_range,0.5890336863764142,89.0,167.75280898876406,0.5930945625235355,0.5195091978689239,-0.004060876147121362,False
age_range×days_q10,0.5890336863764142,89.0,167.75280898876406,0.5195091978689239,0.5930945625235355,-0.004060876147121362,False
days_q10×version,0.5724264506850285,190.0,78.57894736842105,0.5930945625235355,0.49919083513059287,-0.02066811183850703,False
cond_q10×livability,0.5702732471444869,218.0,68.4862385321101,0.5529564123753362,0.5426252548605621,0.01731683476915069,True
cond_q10×t3_suf,0.5699691510247366,30.0,497.6666666666667,0.5529564123753362,0.5078707230994229,0.01701273864940034,False
cond_q10×region,0.5692952035660177,199.0,75.0251256281407,0.5529564123753362,0.5408213525980452,0.01633879119068149,False
age_range×region,0.5569306100571699,167.0,89.40119760479043,0.5195091978689239,0.5408213525980452,0.016109257459124726,False
t3_suf×livability,0.5531952259770285,63.0,236.984126984127,0.5078707230994229,0.5426252548605621,0.010569971116466403,False
region×t3_suf,0.5509631062218221,59.0,253.05084745762713,0.5408213525980452,0.5078707230994229,0.010141753623776895,False
region×car,0.5475363959989777,211.0,70.75829383886256,0.5408213525980452,0.517571322146139,0.006715043400932541,True
region×source,0.5475363959989777,211.0,70.75829383886256,0.5408213525980452,0.517571322146139,0.006715043400932541,True
car×livability,0.5468100782275638,225.0,66.35555555555555,0.517571322146139,0.5426252548605621,0.0041848233670016555,True
source×livability,0.5468100782275638,225.0,66.35555555555555,0.517571322146139,0.5426252548605621,0.0041848233670016555,True
region×livability,0.5425981367413992,49.0,304.6938775510204,0.5408213525980452,0.5426252548605621,-2.7118119162894416e-05,False
region×month,0.5425391237334595,222.0,67.25225225225225,0.5408213525980452,0.500395849902753,0.00171777113541427,True
grades×region,0.5394470112946718,59.0,253.05084745762713,0.4959976144016419,0.5408213525980452,-0.0013743413033734386,False
month×livability,0.5384994445015003,230.0,64.91304347826087,0.500395849902753,0.5426252548605621,-0.004125810359061788,True
code×region,0.5379285458956005,79.0,188.9873417721519,0.49791698014217256,0.5408213525980452,-0.002892806702444739,False
w_conflict×region,0.5372100650118344,40.0,373.25,0.5011293328285881,0.5408213525980452,-0.003611287586210765,False
age_range×source,0.5358418688235373,94.0,158.82978723404256,0.5195091978689239,0.517571322146139,0.016332670954613437,False
region×version,0.5337995510234628,368.0,40.57065217391305,0.5408213525980452,0.49919083513059287,-0.007021801574582431,True
version×livability,0.5334966739751242,387.0,38.57881136950905,0.49919083513059287,0.5426252548605621,-0.009128580885437887,True
cond_q10×version,0.5289475721670372,190.0,78.57894736842105,0.5529564123753362,0.49919083513059287,-0.024008840208298965,False
source×month,0.5195580851204422,102.0,146.37254901960785,0.517571322146139,0.500395849902753,0.0019867629743032245,False
car×month,0.5195580851204422,102.0,146.37254901960785,0.517571322146139,0.500395849902753,0.0019867629743032245,False
car×t3_suf,0.517571322146139,11.0,1357.2727272727273,0.517571322146139,0.5078707230994229,0.0,False
code×source,0.517571322146139,11.0,1357.2727272727273,0.49791698014217256,0.517571322146139,0.0,False
w_conflict×source,0.5173881380072431,22.0,678.6363636363636,0.5011293328285881,0.517571322146139,-0.00018318413889584217,False
version×month,0.5148707804206583,215.0,69.44186046511628,0.49919083513059287,0.500395849902753,0.014474930517905271,True
grades×source,0.5136163808168117,28.0,533.2142857142857,0.4959976144016419,0.517571322146139,-0.003954941329327277,False
source×version,0.5110123696439476,203.0,73.54679802955665,0.517571322146139,0.49919083513059287,-0.006558952502191406,True
car×version,0.5110123696439476,203.0,73.54679802955665,0.517571322146139,0.49919083513059287,-0.006558952502191406,True
version×t3_suf,0.5063458140371744,57.0,261.9298245614035,0.49919083513059287,0.5078707230994229,-0.0015249090622485584,False
