col,nunique,auc,auc_abs,resid_auc,resid_auc_abs,corr_days,std,near_unique
x1,14925,0.5282182191565976,0.5282182191565976,0.5276887938577112,0.5276887938577112,0.1854785816917643,0.09159270324353243,True
x5,14925,0.5247231662976612,0.5247231662976612,0.5276508782489,0.5276508782489,0.17264734895621328,0.08234034000423755,True
x10,14922,0.5224458165051721,0.5224458165051721,0.5195665439833004,0.5195665439833004,0.20099046849031846,0.05848531624174761,True
x19,16,0.5193015327857563,0.5193015327857563,0.5152864091350943,0.5152864091350943,0.19635162261417974,35.3674717968489,False
x14,14920,0.518326847873422,0.518326847873422,0.5181675973406131,0.5181675973406131,0.10092096988106393,0.062450524309359066,True
x0,14921,0.5174101808086912,0.5174101808086912,0.5185238149829747,0.5185238149829747,0.07621355900579832,0.0416498856656294,True
x17,14907,0.516952232900956,0.516952232900956,0.5164426859297863,0.5164426859297863,0.18887579675782185,0.016615058305862285,True
x9,14927,0.5164139506750769,0.5164139506750769,0.5237395498213091,0.5237395498213091,0.17246252987684813,0.08333905196870654,True
x2,14922,0.5141737950001553,0.5141737950001553,0.5131786595429109,0.5131786595429109,0.035583678841527355,0.030873433840538107,True
x15,14928,0.5136963170708212,0.5136963170708212,0.5102979689175601,0.5102979689175601,0.21009915273255564,0.05818251527760152,True
x13,14925,0.5135880187472285,0.5135880187472285,0.5183837959236641,0.5183837959236641,0.17501176256646972,0.07818573654930586,True
x20,125,0.48935596407550797,0.510644035924492,0.5064125644167286,0.5064125644167286,0.08657555813453628,1.3042154059694957,False
x7,14917,0.48964055505266785,0.5103594449473321,0.49052900932186594,0.5094709906781341,0.04427240252183376,0.03203241447359509,True
x11,14922,0.5077206280417076,0.5077206280417076,0.5051010923675978,0.5051010923675978,0.20755292758979127,0.05845881185009153,True
x8,14917,0.506977566697636,0.506977566697636,0.5075524210658725,0.5075524210658725,0.06612947778873772,0.03626663984753689,True
x18,14930,0.5054815919221641,0.5054815919221641,0.5058047204833455,0.5058047204833455,-0.0047032801360362845,1.2187727145681275,True
x6,14917,0.5042758805377687,0.5042758805377687,0.5051503030462257,0.5051503030462257,0.0398853105869903,0.03163587132035438,True
x16,14915,0.4961152672323954,0.5038847327676046,0.49594477138778686,0.5040552286122131,-0.010891222637088626,0.048641436484498736,True
x3,14924,0.5028180701611922,0.5028180701611922,0.507674975061282,0.507674975061282,-0.020667532990554703,0.04297203239240872,True
x4,14915,0.5016326849266646,0.5016326849266646,0.5022946904613483,0.5022946904613483,0.026118897801749807,0.03031153380041139,True
x12,14919,0.501133313469933,0.501133313469933,0.5019878825296816,0.5019878825296816,-0.007904989760114839,0.029312131599039334,True
